"Table__Title","matchTeams","AnchorLink","AnchorLink href","AnchorLink href 2","Image src","AnchorLink 2","AnchorLink href 3","AnchorLink href 4","Image src 2","AnchorLink 3","AnchorLink href 5","AnchorLink 4","AnchorLink href 6","Table__TD","matchTeams 2","AnchorLink 5","AnchorLink href 7","AnchorLink href 8","Image src 3","AnchorLink 6","AnchorLink href 9","AnchorLink href 10","Image src 4","AnchorLink 7","AnchorLink href 11","AnchorLink 8","AnchorLink href 12","Table__TD 2","matchTeams 3","AnchorLink 9","AnchorLink href 13","AnchorLink href 14","Image src 5","AnchorLink 10","AnchorLink href 15","AnchorLink href 16","Image src 6","AnchorLink 11","AnchorLink 12","AnchorLink href 18","Table__TD 3","matchTeams 4","AnchorLink 13","AnchorLink href 19","Image src 7","AnchorLink 14","AnchorLink href 21","AnchorLink href 22","Image src 8","AnchorLink 15","AnchorLink 16","Table__TD 4"
"November, 2022","Mon, Nov 21","England","https://www.espn.com/soccer/team/_/id/448/england","https://www.espn.com/soccer/team/_/id/448/england","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/eng.png&w=40&h=40&scale=crop&cquality=40&location=origin","6 - 2","https://www.espn.com/soccer/match/_/gameId/633789","https://www.espn.com/soccer/team/_/id/469/iran","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/irn.png&w=40&h=40&scale=crop&cquality=40&location=origin","Iran","https://www.espn.com/soccer/team/_/id/469/iran","FT","https://www.espn.com/soccer/match/_/gameId/633789","FIFA World Cup","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"September, 2022","Tue, Sep 27","England","https://www.espn.com/soccer/team/_/id/448/england","https://www.espn.com/soccer/team/_/id/448/england","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/eng.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 3","https://www.espn.com/soccer/match/_/gameId/624017","https://www.espn.com/soccer/team/_/id/481/germany","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ger.png&w=40&h=40&scale=crop&cquality=40&location=origin","Germany","https://www.espn.com/soccer/team/_/id/481/germany","FT","https://www.espn.com/soccer/match/_/gameId/624017","UEFA Nations League","Sat, Sep 24","Italy","https://www.espn.com/soccer/team/_/id/162/italy","https://www.espn.com/soccer/team/_/id/162/italy","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ita.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/624039","https://www.espn.com/soccer/team/_/id/448/england","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/eng.png&w=40&h=40&scale=crop&cquality=40&location=origin","England","https://www.espn.com/soccer/team/_/id/448/england","FT","https://www.espn.com/soccer/match/_/gameId/624039","UEFA Nations League","","","","","","","","","","","","","","","","","","","","","","","",""
"June, 2022","Wed, Jun 15","England","https://www.espn.com/soccer/team/_/id/448/england","https://www.espn.com/soccer/team/_/id/448/england","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/eng.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 4","https://www.espn.com/soccer/match/_/gameId/624060","https://www.espn.com/soccer/team/_/id/480/hungary","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/hun.png&w=40&h=40&scale=crop&cquality=40&location=origin","Hungary","https://www.espn.com/soccer/team/_/id/480/hungary","FT","https://www.espn.com/soccer/match/_/gameId/624060","UEFA Nations League","Sun, Jun 12","England","https://www.espn.com/soccer/team/_/id/448/england","https://www.espn.com/soccer/team/_/id/448/england","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/eng.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 0","https://www.espn.com/soccer/match/_/gameId/624088","https://www.espn.com/soccer/team/_/id/162/italy","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ita.png&w=40&h=40&scale=crop&cquality=40&location=origin","Italy","https://www.espn.com/soccer/team/_/id/162/italy","FT","https://www.espn.com/soccer/match/_/gameId/624088","UEFA Nations League","Wed, Jun 8","Germany","https://www.espn.com/soccer/team/_/id/481/germany","https://www.espn.com/soccer/team/_/id/481/germany","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ger.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/624112","https://www.espn.com/soccer/team/_/id/448/england","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/eng.png&w=40&h=40&scale=crop&cquality=40&location=origin","England","FT","https://www.espn.com/soccer/match/_/gameId/624112","UEFA Nations League","Sun, Jun 5","Hungary","https://www.espn.com/soccer/team/_/id/480/hungary","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/hun.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/624142","https://www.espn.com/soccer/team/_/id/448/england","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/eng.png&w=40&h=40&scale=crop&cquality=40&location=origin","England","FT","UEFA Nations League"
"March, 2022","Wed, Mar 30","England","https://www.espn.com/soccer/team/_/id/448/england","https://www.espn.com/soccer/team/_/id/448/england","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/eng.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 0","https://www.espn.com/soccer/match/_/gameId/628733","https://www.espn.com/soccer/team/_/id/4789/ivory-coast","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/civ.png&w=40&h=40&scale=crop&cquality=40&location=origin","Ivory Coast","https://www.espn.com/soccer/team/_/id/4789/ivory-coast","FT","https://www.espn.com/soccer/match/_/gameId/628733","International Friendly","Sun, Mar 27","England","https://www.espn.com/soccer/team/_/id/448/england","https://www.espn.com/soccer/team/_/id/448/england","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/eng.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 1","https://www.espn.com/soccer/match/_/gameId/628652","https://www.espn.com/soccer/team/_/id/475/switzerland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sui.png&w=40&h=40&scale=crop&cquality=40&location=origin","Switzerland","https://www.espn.com/soccer/team/_/id/475/switzerland","FT","https://www.espn.com/soccer/match/_/gameId/628652","International Friendly","","","","","","","","","","","","","","","","","","","","","","","",""
"November, 2021","Tue, Nov 16","San Marino","https://www.espn.com/soccer/team/_/id/588/san-marino","https://www.espn.com/soccer/team/_/id/588/san-marino","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/smr.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 10","https://www.espn.com/soccer/match/_/gameId/590216","https://www.espn.com/soccer/team/_/id/448/england","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/eng.png&w=40&h=40&scale=crop&cquality=40&location=origin","England","https://www.espn.com/soccer/team/_/id/448/england","FT","https://www.espn.com/soccer/match/_/gameId/590216","FIFA World Cup Qualifying - UEFA","Sat, Nov 13","England","https://www.espn.com/soccer/team/_/id/448/england","https://www.espn.com/soccer/team/_/id/448/england","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/eng.png&w=40&h=40&scale=crop&cquality=40&location=origin","5 - 0","https://www.espn.com/soccer/match/_/gameId/590237","https://www.espn.com/soccer/team/_/id/585/albania","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/alb.png&w=40&h=40&scale=crop&cquality=40&location=origin","Albania","https://www.espn.com/soccer/team/_/id/585/albania","FT","https://www.espn.com/soccer/match/_/gameId/590237","FIFA World Cup Qualifying - UEFA","","","","","","","","","","","","","","","","","","","","","","","",""
"October, 2021","Wed, Oct 13","England","https://www.espn.com/soccer/team/_/id/448/england","https://www.espn.com/soccer/team/_/id/448/england","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/eng.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/590259","https://www.espn.com/soccer/team/_/id/480/hungary","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/hun.png&w=40&h=40&scale=crop&cquality=40&location=origin","Hungary","https://www.espn.com/soccer/team/_/id/480/hungary","FT","https://www.espn.com/soccer/match/_/gameId/590259","FIFA World Cup Qualifying - UEFA","Sun, Oct 10","Andorra","https://www.espn.com/soccer/team/_/id/587/andorra","https://www.espn.com/soccer/team/_/id/587/andorra","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/and.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 5","https://www.espn.com/soccer/match/_/gameId/590279","https://www.espn.com/soccer/team/_/id/448/england","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/eng.png&w=40&h=40&scale=crop&cquality=40&location=origin","England","https://www.espn.com/soccer/team/_/id/448/england","FT","https://www.espn.com/soccer/match/_/gameId/590279","FIFA World Cup Qualifying - UEFA","","","","","","","","","","","","","","","","","","","","","","","",""
"September, 2021","Thu, Sep 9","Poland","https://www.espn.com/soccer/team/_/id/471/poland","https://www.espn.com/soccer/team/_/id/471/poland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/pol.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/590301","https://www.espn.com/soccer/team/_/id/448/england","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/eng.png&w=40&h=40&scale=crop&cquality=40&location=origin","England","https://www.espn.com/soccer/team/_/id/448/england","FT","https://www.espn.com/soccer/match/_/gameId/590301","FIFA World Cup Qualifying - UEFA","Mon, Sep 6","England","https://www.espn.com/soccer/team/_/id/448/england","https://www.espn.com/soccer/team/_/id/448/england","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/eng.png&w=40&h=40&scale=crop&cquality=40&location=origin","4 - 0","https://www.espn.com/soccer/match/_/gameId/590328","https://www.espn.com/soccer/team/_/id/587/andorra","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/and.png&w=40&h=40&scale=crop&cquality=40&location=origin","Andorra","https://www.espn.com/soccer/team/_/id/587/andorra","FT","https://www.espn.com/soccer/match/_/gameId/590328","FIFA World Cup Qualifying - UEFA","Fri, Sep 3","Hungary","https://www.espn.com/soccer/team/_/id/480/hungary","https://www.espn.com/soccer/team/_/id/480/hungary","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/hun.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 4","https://www.espn.com/soccer/match/_/gameId/590349","https://www.espn.com/soccer/team/_/id/448/england","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/eng.png&w=40&h=40&scale=crop&cquality=40&location=origin","England","FT","https://www.espn.com/soccer/match/_/gameId/590349","FIFA World Cup Qualifying - UEFA","","","","","","","","","","",""
"July, 2021","Mon, Jul 12","Italy","https://www.espn.com/soccer/team/_/id/162/italy","https://www.espn.com/soccer/team/_/id/448/england","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/eng.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 1","https://www.espn.com/soccer/match/_/gameId/560295","https://www.espn.com/soccer/team/_/id/479/denmark","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/den.png&w=40&h=40&scale=crop&cquality=40&location=origin","England","https://www.espn.com/soccer/team/_/id/448/england","FT-Pens","https://www.espn.com/soccer/match/_/gameId/560294","UEFA European Championship","Thu, Jul 8","England","https://www.espn.com/soccer/team/_/id/448/england","https://www.espn.com/soccer/team/_/id/457/ukraine","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ukr.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 4","https://www.espn.com/soccer/match/_/gameId/560297","https://www.espn.com/soccer/team/_/id/448/england","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/eng.png&w=40&h=40&scale=crop&cquality=40&location=origin","Denmark","https://www.espn.com/soccer/team/_/id/479/denmark","AET","https://www.espn.com/soccer/match/_/gameId/560295","UEFA European Championship","Sun, Jul 4","Ukraine","https://www.espn.com/soccer/team/_/id/457/ukraine","https://www.espn.com/soccer/team/_/id/162/italy","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ita.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/560294","https://www.espn.com/soccer/team/_/id/448/england","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/eng.png&w=40&h=40&scale=crop&cquality=40&location=origin","England","FT","https://www.espn.com/soccer/match/_/gameId/560297","UEFA European Championship","","","","","","","","","","",""
"June, 2021","Wed, Jun 30","England","https://www.espn.com/soccer/team/_/id/448/england","https://www.espn.com/soccer/team/_/id/448/england","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/eng.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 0","https://www.espn.com/soccer/match/_/gameId/560302","https://www.espn.com/soccer/team/_/id/481/germany","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ger.png&w=40&h=40&scale=crop&cquality=40&location=origin","Germany","https://www.espn.com/soccer/team/_/id/481/germany","FT","https://www.espn.com/soccer/match/_/gameId/560302","UEFA European Championship","Wed, Jun 23","Czech Republic","https://www.espn.com/soccer/team/_/id/450/czech-republic","https://www.espn.com/soccer/team/_/id/450/czech-republic","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cze.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 1","https://www.espn.com/soccer/match/_/gameId/560313","https://www.espn.com/soccer/team/_/id/448/england","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/eng.png&w=40&h=40&scale=crop&cquality=40&location=origin","England","https://www.espn.com/soccer/team/_/id/448/england","FT","https://www.espn.com/soccer/match/_/gameId/560313","UEFA European Championship","Sat, Jun 19","England","https://www.espn.com/soccer/team/_/id/448/england","https://www.espn.com/soccer/team/_/id/448/england","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/eng.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 0","https://www.espn.com/soccer/match/_/gameId/560326","https://www.espn.com/soccer/team/_/id/580/scotland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sco.png&w=40&h=40&scale=crop&cquality=40&location=origin","Scotland","FT","https://www.espn.com/soccer/match/_/gameId/560326","UEFA European Championship","Sun, Jun 13","England","https://www.espn.com/soccer/team/_/id/448/england","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/eng.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/560338","https://www.espn.com/soccer/team/_/id/477/croatia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cro.png&w=40&h=40&scale=crop&cquality=40&location=origin","Croatia","FT","UEFA European Championship"
