"Table__Title","matchTeams","AnchorLink","AnchorLink href","Image src","AnchorLink 2","AnchorLink href 3","AnchorLink href 4","Image src 2","AnchorLink 3","Table__TD","matchTeams 2","AnchorLink 5","AnchorLink href 7","Image src 3","AnchorLink 6","AnchorLink href 9","AnchorLink href 10","Image src 4","AnchorLink 7","AnchorLink 8","Table__TD 2","matchTeams 3","AnchorLink 9","AnchorLink href 13","Image src 5","AnchorLink 10","AnchorLink href 15","AnchorLink href 16","Image src 6","AnchorLink 11","AnchorLink 12","Table__TD 3","matchTeams 4","AnchorLink 13","AnchorLink href 19","Image src 7","AnchorLink 14","AnchorLink href 21","AnchorLink href 22","Image src 8","AnchorLink 15","AnchorLink 16","Table__TD 4"
"November, 2022","Tue, Nov 22","Senegal","https://www.espn.com/soccer/team/_/id/654/senegal","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sen.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 2","https://www.espn.com/soccer/match/_/gameId/633788","https://www.espn.com/soccer/team/_/id/449/netherlands","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ned.png&w=40&h=40&scale=crop&cquality=40&location=origin","Netherlands","FIFA World Cup","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"September, 2022","Mon, Sep 26","Netherlands","https://www.espn.com/soccer/team/_/id/449/netherlands","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ned.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/624021","https://www.espn.com/soccer/team/_/id/459/belgium","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bel.png&w=40&h=40&scale=crop&cquality=40&location=origin","Belgium","UEFA Nations League","Fri, Sep 23","Poland","https://www.espn.com/soccer/team/_/id/471/poland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/pol.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 2","https://www.espn.com/soccer/match/_/gameId/624054","https://www.espn.com/soccer/team/_/id/449/netherlands","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ned.png&w=40&h=40&scale=crop&cquality=40&location=origin","Netherlands","FT","UEFA Nations League","","","","","","","","","","","","","","","","","","","","","",""
"June, 2022","Wed, Jun 15","Netherlands","https://www.espn.com/soccer/team/_/id/449/netherlands","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ned.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 2","https://www.espn.com/soccer/match/_/gameId/624072","https://www.espn.com/soccer/team/_/id/578/wales","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/wal.png&w=40&h=40&scale=crop&cquality=40&location=origin","Wales","UEFA Nations League","Sun, Jun 12","Netherlands","https://www.espn.com/soccer/team/_/id/449/netherlands","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ned.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 2","https://www.espn.com/soccer/match/_/gameId/624099","https://www.espn.com/soccer/team/_/id/471/poland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/pol.png&w=40&h=40&scale=crop&cquality=40&location=origin","Poland","FT","UEFA Nations League","Thu, Jun 9","Wales","https://www.espn.com/soccer/team/_/id/578/wales","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/wal.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 2","https://www.espn.com/soccer/match/_/gameId/624125","https://www.espn.com/soccer/team/_/id/449/netherlands","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ned.png&w=40&h=40&scale=crop&cquality=40&location=origin","Netherlands","FT","UEFA Nations League","Sat, Jun 4","Belgium","https://www.espn.com/soccer/team/_/id/459/belgium","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bel.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 4","https://www.espn.com/soccer/match/_/gameId/624151","https://www.espn.com/soccer/team/_/id/449/netherlands","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ned.png&w=40&h=40&scale=crop&cquality=40&location=origin","Netherlands","FT","UEFA Nations League"
"March, 2022","Wed, Mar 30","Netherlands","https://www.espn.com/soccer/team/_/id/449/netherlands","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ned.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/627970","https://www.espn.com/soccer/team/_/id/481/germany","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ger.png&w=40&h=40&scale=crop&cquality=40&location=origin","Germany","International Friendly","Sun, Mar 27","Netherlands","https://www.espn.com/soccer/team/_/id/449/netherlands","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ned.png&w=40&h=40&scale=crop&cquality=40&location=origin","4 - 2","https://www.espn.com/soccer/match/_/gameId/627969","https://www.espn.com/soccer/team/_/id/479/denmark","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/den.png&w=40&h=40&scale=crop&cquality=40&location=origin","Denmark","FT","International Friendly","","","","","","","","","","","","","","","","","","","","","",""
"November, 2021","Wed, Nov 17","Netherlands","https://www.espn.com/soccer/team/_/id/449/netherlands","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ned.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 0","https://www.espn.com/soccer/match/_/gameId/590211","https://www.espn.com/soccer/team/_/id/464/norway","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/nor.png&w=40&h=40&scale=crop&cquality=40&location=origin","Norway","FIFA World Cup Qualifying - UEFA","Sun, Nov 14","Montenegro","https://www.espn.com/soccer/team/_/id/6775/montenegro","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mtg.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 2","https://www.espn.com/soccer/match/_/gameId/590233","https://www.espn.com/soccer/team/_/id/449/netherlands","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ned.png&w=40&h=40&scale=crop&cquality=40&location=origin","Netherlands","FT","FIFA World Cup Qualifying - UEFA","","","","","","","","","","","","","","","","","","","","","",""
"October, 2021","Tue, Oct 12","Netherlands","https://www.espn.com/soccer/team/_/id/449/netherlands","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ned.png&w=40&h=40&scale=crop&cquality=40&location=origin","6 - 0","https://www.espn.com/soccer/match/_/gameId/590268","https://www.espn.com/soccer/team/_/id/16721/gibraltar","https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/16721.png&w=40&h=40&scale=crop&cquality=40&location=origin","Gibraltar","FIFA World Cup Qualifying - UEFA","Sat, Oct 9","Latvia","https://www.espn.com/soccer/team/_/id/456/latvia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/lva.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 1","https://www.espn.com/soccer/match/_/gameId/590292","https://www.espn.com/soccer/team/_/id/449/netherlands","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ned.png&w=40&h=40&scale=crop&cquality=40&location=origin","Netherlands","FT","FIFA World Cup Qualifying - UEFA","","","","","","","","","","","","","","","","","","","","","",""
"September, 2021","Wed, Sep 8","Netherlands","https://www.espn.com/soccer/team/_/id/449/netherlands","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ned.png&w=40&h=40&scale=crop&cquality=40&location=origin","6 - 1","https://www.espn.com/soccer/match/_/gameId/590320","https://www.espn.com/soccer/team/_/id/465/turkey","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/tur.png&w=40&h=40&scale=crop&cquality=40&location=origin","Turkey","FIFA World Cup Qualifying - UEFA","Sun, Sep 5","Netherlands","https://www.espn.com/soccer/team/_/id/449/netherlands","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ned.png&w=40&h=40&scale=crop&cquality=40&location=origin","4 - 0","https://www.espn.com/soccer/match/_/gameId/590336","https://www.espn.com/soccer/team/_/id/6775/montenegro","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mtg.png&w=40&h=40&scale=crop&cquality=40&location=origin","Montenegro","FT","FIFA World Cup Qualifying - UEFA","Thu, Sep 2","Norway","https://www.espn.com/soccer/team/_/id/464/norway","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/nor.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/590363","https://www.espn.com/soccer/team/_/id/449/netherlands","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ned.png&w=40&h=40&scale=crop&cquality=40&location=origin","Netherlands","FT","FIFA World Cup Qualifying - UEFA","","","","","","","","","","",""
"June, 2021","Mon, Jun 28","Netherlands","https://www.espn.com/soccer/team/_/id/449/netherlands","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ned.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 2","https://www.espn.com/soccer/match/_/gameId/560306","https://www.espn.com/soccer/team/_/id/450/czech-republic","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cze.png&w=40&h=40&scale=crop&cquality=40&location=origin","Czech Republic","UEFA European Championship","Tue, Jun 22","North Macedonia","https://www.espn.com/soccer/team/_/id/463/north-macedonia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mkd.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 3","https://www.espn.com/soccer/match/_/gameId/560318","https://www.espn.com/soccer/team/_/id/449/netherlands","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ned.png&w=40&h=40&scale=crop&cquality=40&location=origin","Netherlands","FT","UEFA European Championship","Fri, Jun 18","Netherlands","https://www.espn.com/soccer/team/_/id/449/netherlands","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ned.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 0","https://www.espn.com/soccer/match/_/gameId/560327","https://www.espn.com/soccer/team/_/id/474/austria","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/aut.png&w=40&h=40&scale=crop&cquality=40&location=origin","Austria","FT","UEFA European Championship","Mon, Jun 14","Netherlands","https://www.espn.com/soccer/team/_/id/449/netherlands","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ned.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 2","https://www.espn.com/soccer/match/_/gameId/560339","https://www.espn.com/soccer/team/_/id/457/ukraine","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ukr.png&w=40&h=40&scale=crop&cquality=40&location=origin","Ukraine","FT","UEFA European Championship"
"March, 2021","Wed, Mar 31","Gibraltar","https://www.espn.com/soccer/team/_/id/16721/gibraltar","https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/16721.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 7","https://www.espn.com/soccer/match/_/gameId/590385","https://www.espn.com/soccer/team/_/id/449/netherlands","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ned.png&w=40&h=40&scale=crop&cquality=40&location=origin","Netherlands","FIFA World Cup Qualifying - UEFA","Sun, Mar 28","Netherlands","https://www.espn.com/soccer/team/_/id/449/netherlands","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ned.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 0","https://www.espn.com/soccer/match/_/gameId/590405","https://www.espn.com/soccer/team/_/id/456/latvia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/lva.png&w=40&h=40&scale=crop&cquality=40&location=origin","Latvia","FT","FIFA World Cup Qualifying - UEFA","Thu, Mar 25","Turkey","https://www.espn.com/soccer/team/_/id/465/turkey","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/tur.png&w=40&h=40&scale=crop&cquality=40&location=origin","4 - 2","https://www.espn.com/soccer/match/_/gameId/590430","https://www.espn.com/soccer/team/_/id/449/netherlands","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ned.png&w=40&h=40&scale=crop&cquality=40&location=origin","Netherlands","FT","FIFA World Cup Qualifying - UEFA","","","","","","","","","","",""
